,OCC_CODE,O_GROUP,OCC_TITLE,TOT_EMP,Mean Annual Salary,Median Annual Salary,Entry level education,Work Experience,Training on Job,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over,Median age,Women,White,Black or African American,Asian,Hispanic or Latino,Employement change in 10 years,Education weight,Experience weight,Training weight,Prestige,popularity
49,13-1041,detailed,compliance officers,327360,75620,71100,Bachelor's degree,None,Moderate-term on-the-job training,0.3278688524590163,1.3114754098360657,19.672131147540984,25.901639344262296,26.557377049180328,20.327868852459016,5.573770491803279,45.5,57.1,75.4,12.0,7.5,8.6,6.2,3.0,1.0,4.5,1020870.0,3270901694950.82
50,13-1051,detailed,cost estimators,199360,72960,66610,Bachelor's degree,None,Moderate-term on-the-job training,0.0,3.3057851239669422,21.487603305785125,22.31404958677686,26.446280991735534,15.702479338842975,11.570247933884298,45.7,15.0,93.7,2.9,2.0,14.1,0.6,3.0,1.0,4.5,984960.0,216376446942.14877
51,13-1070,broad,human resources workers,718120,69950,64070,No formal educational credential,None,None,0.3605769230769231,6.1298076923076925,30.048076923076923,22.235576923076923,20.79326923076923,16.346153846153847,3.9663461538461537,40.9,74.3,76.9,13.0,5.8,15.1,9.0,1.0,1.0,1.0,69950.0,16518762450000.0
52,13-1071,detailed,human resources specialists,647810,69430,63490,Bachelor's degree,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,10.4,3.0,1.0,1.0,208290.0,16343303262269.023
53,13-1074,detailed,farm labor contractors,0,50300,47780,No formal educational credential,Less than 5 years,Short-term on-the-job training,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,10.6,1.0,2.0,3.5,352100.0,0.0
54,13-1075,detailed,labor relations specialists,70050,74870,73240,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,-4.3,3.0,2.0,1.0,449220.0,-787945383634.814
55,13-1081,detailed,logisticians,184230,79830,76270,Bachelor's degree,None,None,0.0,2.7210884353741496,29.25170068027211,21.08843537414966,23.80952380952381,17.006802721088434,5.442176870748299,42.9,38.1,82.6,11.8,4.4,20.6,29.5,3.0,1.0,1.0,239490.0,13871678685612.244
56,13-1111,detailed,management analysts,734000,97580,87660,Bachelor's degree,Less than 5 years,None,0.1003009027081243,4.112337011033099,23.67101303911735,20.86258776328987,20.962888665997998,18.655967903711133,11.634904714142428,45.3,42.7,77.8,8.4,11.9,9.3,13.7,3.0,2.0,1.0,585480.0,27360692075426.277
57,13-1121,detailed,"meeting, convention, and event planners",109800,55890,51560,Bachelor's degree,None,None,0.847457627118644,8.474576271186441,34.74576271186441,22.033898305084747,19.491525423728813,11.864406779661016,2.542372881355932,38.8,73.7,85.8,7.7,4.8,11.9,17.5,3.0,1.0,1.0,167670.0,4732556796610.17
58,13-1131,detailed,fundraisers,82140,64550,59610,Bachelor's degree,None,None,0.0,4.040404040404041,27.272727272727277,21.21212121212121,22.22222222222222,17.171717171717173,8.080808080808081,43.7,74.8,85.0,3.7,8.4,7.4,15.9,3.0,1.0,1.0,193650.0,2639821542727.273
